commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
6a1c808,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
9cf4da4,9.68,0.4651,discard,SparseSymbolicV1,Sparse symbolic equation via L1-selected linear/quadratic/hinge/interaction terms with OLS refit
80e70d6,8.20,0.6047,keep,OneSplitSparseLinV1,Sparse linear model with optional single threshold split into two sparse leaf equations
e4ef6e2,10.91,0.4651,discard,SparseAddHingeV1,"Sparse additive symbolic regressor with linear, hinge, abs, and few interaction terms selected by L1"
c6e0dfe,10.40,0.5814,discard,SparseRuleResidualV1,Sparse linear backbone with a few additive threshold residual rules learned greedily for compact nonlinear corrections
d68a414,10.80,0.6512,discard,SparseLinHingeV2,Sparse L1-selected linear equation plus up to two greedy hinge residual terms for compact nonlinear correction
48f65c7,11.86,0.5116,discard,SparseHybridSymV1,Sparse linear backbone with one greedy hinge and one greedy interaction term in a single additive symbolic equation
1044a42,10.20,0.5349,discard,SparseBackbonePWV1,Sparse ridge-backed linear equation with an optional jointly-refit one-feature two-hinge piecewise correction
f1cfcfc,9.74,0.4884,discard,SparseAdaptiveHingeV1,Forward-selected compact additive regressor using sparse linear and hinge basis terms with an explicit arithmetic equation
