commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.91,0.1163,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.5814,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.28,0.4884,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.97,0.6279,baseline,OLS,ordinary least squares linear regression
baseline,9.43,0.6512,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.95,0.5581,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.74,0.1395,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.45,0.1395,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.0930,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.20,0.1395,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.0698,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,7.98,0.0465,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.11,0.7907,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.23,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.02,0.0000,baseline,TabPFN,TabPFN foundation model for tabular data
6d60463,10.72,0.5581,discard,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
535c83e,9.71,0.3488,discard,SparsePolyLinear,Lasso with degree-2 polynomial features (interactions + squares) for nonlinear prediction with sparse linear equation output
37e4167,nan,0.4884,discard,BinnedAdditive,"Additive piecewise-constant model using quantile bins per feature with ridge regression, presented as lookup table"
091ff50,7.83,0.0000,discard,HingeAdditive,Sparse additive hinge model (simplified MARS) with forward stepwise selection and ridge refit
e768d28,17.26,0.0233,discard,AdditiveTree,"Additive model with one depth-3 tree per feature, cyclic boosting, clear per-feature tree output"
5d35528,16.72,0.1628,discard,LinearShrinkTree,"Ridge linear model + hierarchically-shrunk decision tree on residuals, compact 2-part representation"
de4500a,14.60,0.6047,discard,ShrinkageTree,"Decision tree with hierarchical shrinkage (max_leaf_nodes=12, reg=10), reduces overfitting while staying readable"
a08ea8d,10.06,0.3488,discard,BoostedStump,"Gradient-boosted depth-1 stumps (additive, no interactions) with per-feature partial effect lookup table"
84888ba,14.57,0.8372,keep,DistilledShrinkTree,"GBM-distilled decision tree with CV-tuned hierarchical shrinkage, smoothed training targets for better splits"
61ff294,13.03,0.7209,discard,DistilledShrinkTree_v2,"GBM-distilled tree (20 leaves, alpha=0.3) with CV-tuned hierarchical shrinkage, more capacity for prediction"
421343b,13.88,0.7209,discard,PureShrinkTree,"Decision tree with CV-tuned max_leaf_nodes and hierarchical shrinkage regularization, clean tree output"
c2086a6,14.17,0.0233,discard,MiniBoost,"Mini gradient boosting with 5 small depth-3 trees, each shown as traceable tree text"
eac6867,11.22,0.8140,keep,DistilledShrinkTree_v4,"RF+GBM teacher-distilled compact tree (6-12 leaves, alpha=0.5) with CV-tuned shrinkage, targeting higher interp"
981283e,9.18,0.5116,discard,DistilledShrinkTree_v5,"RF+GBM teacher-distilled large tree (16-40 leaves, alpha=0.7) with CV-tuned shrinkage, targeting better rank"
0828b31,10.54,0.6744,discard,DistilledShrinkTree_v6,"RF+GBM teacher-distilled tree (10-22 leaves, alpha=0.4) with CV-tuned shrinkage, balanced rank/interp"
ed7df93,10.72,0.6047,discard,DistilledShrinkTree_v7,"RF(100)+GBM(200) teacher-distilled tree (18-30 leaves, alpha=0.5) with fine-tuned CV shrinkage"
171464c,11.95,0.6279,discard,FeatSelDistillTree,Feature-selected (top-10) RF+GBM distilled tree with CV-tuned hierarchical shrinkage
e3764dc,9.83,0.0930,discard,SparseRule,"Sparse rule-based regressor: GBM-extracted rules + linear terms, Lasso-selected for sparsity"
70ea27d,12.60,0.6977,discard,DistilledShrinkTree_v8,"RF+GBM teacher-distilled tree (alpha=0.6) with CV-tuned shrinkage and leaf count, stronger distillation"
889d299,14.03,0.7209,discard,TeacherSelTree,"Teacher-selected tree: RF+GBM guides tree selection (not distillation), CV-tuned hierarchical shrinkage"
16a7228,14.40,0.1860,discard,CCPDistillShrinkTree,"CCP-pruned distilled tree with hierarchical shrinkage, grows full tree then prunes optimally"
3c876bf,9.11,0.6512,keep,DistilledShrinkTree_v3,"RF+GBM teacher-distilled tree (alpha=0.5) with CV-tuned shrinkage and leaf count, clean tree output"
e45742c,14.94,0.4419,,ClearGAM,"PyGAM-based additive model with piecewise-constant per-feature effects, clear lookup table output"
91d003c,10.09,0.7442,,RecalDistillTree,Distilled tree structure + recalibrated leaf values from raw data + CV-tuned hierarchical shrinkage
3d22741,12.09,0.8605,,RecalDistillTree_compact,"Compact (6-12 leaves) distilled tree with recalibrated leaves + shrinkage, targeting high interpretability"
2fa17d2,11.63,0.7442,,RecalDistillTree_medium,"Medium (8-20 leaves) distilled tree with recalibrated leaves + shrinkage, balanced rank and interp"
37aced9,10.20,0.7209,,EBMDistillTree,"EBM+GBM teacher-distilled tree (alpha=0.5) with CV-tuned shrinkage, EBM provides stronger predictions"
b314765,10.89,0.6977,,TabPFNDistillTree,"TabPFN+GBM teacher-distilled tree (alpha=0.5) with CV-tuned shrinkage, TabPFN provides strongest predictions"
