commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
1b5fcad,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
41bdd43,7.55,0.5116,,AdditiveStumps_v1,"Boosted depth-1 stumps collapsed into per-feature piecewise-constant shape functions (200 rounds, lr=0.1)"
a3857f9,9.89,0.5116,,LinearPlusTree_v1,Ridge regression + shallow decision tree (depth 3) on residuals
12dcbfb,9.98,0.6512,,CompactAdditive_v1,"Boosted stumps with per-feature shape functions quantized to 5 bins max, top 10 features shown"
5ac5e82,7.32,0.6047,,SparsePoly_v1,Lasso on degree-2 polynomial features (interactions + quadratics) with feature selection
eec5bf3,9.83,0.4186,,CyclicAdditive_v1,Cyclic boosted stumps (EBM-style round-robin) with GAM-style partial effect display
54dbcb8,9.95,0.4186,,HingeLinear_v1,"Ridge on original features + max(0, x-t) hinge terms at quantile thresholds"
3d7820b,14.06,0.6977,,BoostedRidge_v1,"Boosted Ridge regression (10 rounds, lr=0.3) collapsed into single linear equation"
c66434a,11.00,0.6047,,AdaptiveGAM_v1,Cyclic boosted stumps GAM with Ridge-style linear equation display for interpretability
c923afb,11.26,0.4186,,InteractionRidge_v1,"Ridge with auto-selected interactions + squared terms, full consistent equation display"
