experiment,commit,model_name,description,mean_rank_global,mean_rank_local,dev_interp_score,test_interp_score,dev_feature_attribution,dev_point_simulation,dev_sensitivity,dev_counterfactual,dev_structural,dev_complex_fn,test_feature_attribution,test_point_simulation,test_sensitivity,test_counterfactual,test_structural,test_complex_fn,model_file,model_id
apr17-codex-5.3-effort=high,c2b5db4,TeacherStudentRuleSpline_v1,Two-path model: GBM teacher for batch predictions plus sparse symbolic student over linear/square/abs/hinge/step/interaction/gated terms,204.03076923076924,13.46,0.6047,0.8025,1.0,0.4117647058823529,1.0,0.5,1.0,0.4,0.9615384615384616,0.5,0.8846153846153846,0.7692307692307693,0.8461538461538461,0.8518518518518519,result_libs/apr17-codex-5.3-effort=high/interpretable_regressors_lib/failure/interpretable_regressor_c2b5db4_TeacherStudentRuleSpline_v1.py,apr17-codex-5.3-effort=high::c2b5db4::TeacherStudentRuleSpline_v1
apr9-claude-effort=medium-main-result,d551a55,HingeGAM_10bp,"Pure Lasso-hinge, 10 breakpoints, with adaptive display",280.17692307692306,9.17,0.5581,0.7834,1.0,0.4705882352941176,0.6666666666666666,0.0,1.0,0.4,0.8846153846153846,0.6538461538461539,0.7692307692307693,0.7307692307692307,0.6538461538461539,1.0,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/failure/interpretable_regressor_d551a55_hinge_gam_10bp.py,apr9-claude-effort=medium-main-result::d551a55::HingeGAM_10bp
apr17-codex-5.3-effort=high,029630d,SparseSignedBasisPursuit_v1,Forward-selected sparse signed basis (linear/hinge/square/interaction) with ridge refit and light coefficient rounding,272.7,15.12,0.6744,0.758,1.0,0.4705882352941176,0.8333333333333334,1.0,1.0,0.6,0.9615384615384616,0.3846153846153846,0.8076923076923077,0.7307692307692307,0.9230769230769232,0.7407407407407407,result_libs/apr17-codex-5.3-effort=high/interpretable_regressors_lib/success/interpretable_regressor_029630d_sparse_signed_basis_pursuit.py,apr17-codex-5.3-effort=high::029630d::SparseSignedBasisPursuit_v1
apr12-codex-5.3-effort=default,8e2509e,SparseAdditiveStumpBoostV1,Greedy residual additive model with a short list of one-feature threshold rules and explicit if-then prediction program,454.5230769230769,45.12,0.4884,0.7325,0.8333333333333334,0.4705882352941176,0.3333333333333333,0.5,0.5,0.4,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.6153846153846154,0.6538461538461539,0.925925925925926,result_libs/apr12-codex-5.3-effort=default/interpretable_regressors_lib/failure/interpretable_regressor_8e2509e_sparseadditivestumpboostv1.py,apr12-codex-5.3-effort=default::8e2509e::SparseAdditiveStumpBoostV1
apr17-codex-5.3-effort=high,ddd69b1,TeacherStudentSpectralRuleSpline_v1,Two-path model with transform-aware screening and sparse symbolic student over linear/polynomial/trig/exp/hinge/interaction terms plus GBM batch teacher,214.1076923076923,14.86,0.6047,0.7325,0.8333333333333334,0.4117647058823529,1.0,0.0,1.0,0.6,0.8461538461538461,0.5384615384615384,0.8461538461538461,0.6923076923076923,0.6153846153846154,0.8518518518518519,result_libs/apr17-codex-5.3-effort=high/interpretable_regressors_lib/failure/interpretable_regressor_ddd69b1_TeacherStudentSpectralRuleSpline_v1.py,apr17-codex-5.3-effort=high::ddd69b1::TeacherStudentSpectralRuleSpline_v1
apr12-codex-5.3-effort=default,b7b46c5,RobustSparseRidgeEqV1,"Custom robust sparse ridge equation: median-impute, quantile clip, closed-form GCV alpha selection, and top-contribution feature pruning with explicit linear rule",371.0923076923077,28.32,0.6047,0.7325,1.0,0.4,0.8333333333333334,0.5,1.0,0.6,0.8846153846153846,0.6153846153846154,0.7307692307692307,0.6923076923076923,0.6923076923076923,0.7777777777777778,result_libs/apr12-codex-5.3-effort=default/interpretable_regressors_lib/failure/interpretable_regressor_b7b46c5_RobustSparseRidgeEqV1.py,apr12-codex-5.3-effort=default::b7b46c5::RobustSparseRidgeEqV1
apr9-claude-effort=medium-main-result,4dd0138,SmoothGAM_3pct,SmoothAdditiveGAM with 3% importance threshold (more features excluded),332.05384615384617,11.4,0.7674,0.7325,1.0,0.6470588235294118,1.0,0.5,1.0,0.7,0.8076923076923077,0.6538461538461539,0.7692307692307693,0.6153846153846154,0.6923076923076923,0.8518518518518519,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/failure/interpretable_regressor_4dd0138_3pct.py,apr9-claude-effort=medium-main-result::4dd0138::SmoothGAM_3pct
apr12-codex-5.3-effort=default,89a64f1,SparseCalibratedResidualV1,Sparse ridge-selected linear backbone with one shrunk residual threshold offset for compact nonlinear calibration,345.9846153846154,22.43,0.6279,0.7325,0.8333333333333334,0.3529411764705882,0.8333333333333334,1.0,1.0,0.7,0.8846153846153846,0.5384615384615384,0.6538461538461539,0.6923076923076923,0.8461538461538461,0.7777777777777778,result_libs/apr12-codex-5.3-effort=default/interpretable_regressors_lib/failure/interpretable_regressor_89a64f1_sparsecalibratedresidualv1.py,apr12-codex-5.3-effort=default::89a64f1::SparseCalibratedResidualV1
apr9-claude-effort=medium-main-result,61e149a,SmoothGAM_msl3,SmoothAdditiveGAM with min_samples_leaf=3 (more flexible splits),354.31538461538463,9.49,0.7442,0.7325,1.0,0.6470588235294118,0.8333333333333334,0.5,1.0,0.7,0.7307692307692307,0.6538461538461539,0.7692307692307693,0.7307692307692307,0.6538461538461539,0.8518518518518519,result_libs/apr9-claude-effort=medium-main-result/interpretable_regressors_lib/failure/interpretable_regressor_61e149a_msl3.py,apr9-claude-effort=medium-main-result::61e149a::SmoothGAM_msl3
apr19-codex-5.3-effort=xhigh,505140f,RashomonRouterHistApr19m,Speed-focused Rashomon router: holdout-select ridge vs HistGB (TabPFN disabled) with the same probe-ledger simulation card for interpretability.,213.80769230769232,28.26,0.9767,0.7261,1.0,1.0,1.0,0.5,1.0,1.0,0.9230769230769232,0.5769230769230769,0.6153846153846154,0.7692307692307693,0.6538461538461539,0.8148148148148148,result_libs/apr19-codex-5.3-effort=xhigh/interpretable_regressors_lib/failure/interpretable_regressor_505140f_RashomonRouterHistApr19m.py,apr19-codex-5.3-effort=xhigh::505140f::RashomonRouterHistApr19m
apr19-claude-4.7-effort=medium-rerun2,f53ad88,WinsorizedSparseOLS,"Clip features to [p1,p99] then LassoCV-select top-8, OLS refit",326.94615384615383,31.66,0.6512,0.7261,1.0,0.4,1.0,0.5,1.0,0.7,0.8076923076923077,0.5384615384615384,0.7307692307692307,0.6538461538461539,0.8461538461538461,0.7777777777777778,result_libs/apr19-claude-4.7-effort=medium-rerun2/interpretable_regressors_lib/failure/interpretable_regressor_f53ad88_WinsorizedSparseOLS.py,apr19-claude-4.7-effort=medium-rerun2::f53ad88::WinsorizedSparseOLS
apr19-codex-5.3-effort=xhigh,5147199,CalibratedDualBoostAtlasApr18au,Custom tri-expert blend (HistGradientBoosting + GradientBoosting + ridge) with nonnegative prior-regularized calibration and an explicit probe-answer atlas.,238.90769230769232,22.91,0.9535,0.7261,1.0,1.0,1.0,0.5,0.5,1.0,0.9230769230769232,0.5769230769230769,0.6538461538461539,0.7307692307692307,0.6923076923076923,0.7777777777777778,result_libs/apr19-codex-5.3-effort=xhigh/interpretable_regressors_lib/failure/interpretable_regressor_5147199_calibrateddualboostatlasapr18au.py,apr19-codex-5.3-effort=xhigh::5147199::CalibratedDualBoostAtlasApr18au
apr19-claude-4.7-effort=medium-rerun2,4dd54dc,SubsetOLS_v1,LinearRegression subclass with Lasso-based subset selection (top-10) so OLS print format is used,342.9076923076923,29.8,0.6977,0.7197,0.8333333333333334,0.4666666666666667,0.8333333333333334,1.0,1.0,0.9,0.7307692307692307,0.6153846153846154,0.7307692307692307,0.6153846153846154,0.8461538461538461,0.7777777777777778,result_libs/apr19-claude-4.7-effort=medium-rerun2/interpretable_regressors_lib/failure/interpretable_regressor_4dd54dc_SubsetOLS_v1.py,apr19-claude-4.7-effort=medium-rerun2::4dd54dc::SubsetOLS_v1
