model,test,suite,passed,ground_truth,response
HingeEBM_big,new_most_important_feature,standard,True,x0,x0
HingeEBM_big,new_point_prediction,standard,True,8.975,8.9746
HingeEBM_big,new_direction_of_change,standard,True,10.362,10.3617
HingeEBM_big,new_feature_ranking,standard,True,"x0, x1, x2","x0, x1, x2"
HingeEBM_big,new_threshold_identification,standard,False,0.3,
HingeEBM_big,new_irrelevant_features,standard,True,"x1, x2, x3, x4, x5 are irrelevant","x1, x2, x3, x4, x5"
HingeEBM_big,new_sign_of_effect,standard,True,-6.008,-6.0084
HingeEBM_big,new_counterfactual_prediction,standard,True,12.299,12.29875
HingeEBM_big,new_hard_all_features_active,hard,True,2.538,2.58854
HingeEBM_big,new_hard_pairwise_anti_intuitive,hard,False,4.292,
HingeEBM_big,new_hard_quantitative_sensitivity,hard,True,9.86,9.8596
HingeEBM_big,new_hard_mixed_sign_goes_negative,hard,True,-4.257,-4.2574
HingeEBM_big,new_hard_two_feature_perturbation,hard,True,9.78,9.85765
HingeEBM_big,new_insight_simulatability,insight,True,8.384,8.384
HingeEBM_big,new_insight_sparse_feature_set,insight,True,"x0, x1 only","x0, x1"
HingeEBM_big,new_insight_nonlinear_threshold,insight,False,~0 (flat for x0<0),
HingeEBM_big,new_insight_nonlinear_direction,insight,True,5.863,5.53625
HingeEBM_big,new_insight_counterfactual_target,insight,False,2.499,
HingeEBM_big,new_insight_decision_region,insight,False,1.524,
HingeEBM_big,new_discrim_simulate_all_active,discrim,False,2.342,
HingeEBM_big,new_discrim_compactness,discrim,False,,
HingeEBM_big,new_discrim_dominant_feature_sample,discrim,True,x0,x0
HingeEBM_big,new_discrim_unit_sensitivity,discrim,True,3.987,3.9871
HingeEBM_big,new_discrim_predict_above_threshold,discrim,False,2.42,1.70865
HingeEBM_big,new_discrim_predict_below_threshold,discrim,False,-0.02,-1.8036
HingeEBM_big,new_discrim_simulate_mixed_sign,discrim,False,7.052,
HingeEBM_big,new_discrim_simulate_double_threshold,discrim,True,1.489,1.74635
HingeEBM_big,new_discrim_simulate_additive_nonlinear,discrim,False,4.54,
HingeEBM_big,new_discrim_simulate_interaction,discrim,False,16.058,9.69835
HingeEBM_big,new_simulatability_eight_features,simulatability,False,5.185,
HingeEBM_big,new_simulatability_fifteen_features_sparse,simulatability,False,15.356,
HingeEBM_big,new_simulatability_quadratic,simulatability,True,0.499,-0.36378
HingeEBM_big,new_simulatability_friedman1,simulatability,False,15.091,
HingeEBM_big,new_simulatability_cascading_threshold,simulatability,False,3.252,
HingeEBM_big,new_simulatability_exponential_decay,simulatability,False,2.848,-24.22815
HingeEBM_big,new_simulatability_piecewise_three_segment,simulatability,True,1.75,1.6733
HingeEBM_big,new_simulatability_twenty_features_sparse,simulatability,False,12.803,
HingeEBM_big,new_simulatability_sinusoidal,simulatability,False,2.568,6.7325
HingeEBM_big,new_simulatability_abs_value,simulatability,False,2.349,-1.89945
HingeEBM_big,new_simulatability_twelve_features_all_active,simulatability,False,1.677,
HingeEBM_big,new_simulatability_nested_threshold,simulatability,False,1.444,
SklearnGAM_hybrid,new_most_important_feature,standard,True,x0,x0
SklearnGAM_hybrid,new_point_prediction,standard,True,8.944,9.02905
SklearnGAM_hybrid,new_direction_of_change,standard,True,10.407,10.407
SklearnGAM_hybrid,new_feature_ranking,standard,True,"x0, x1, x2","x0, x1, x2"
SklearnGAM_hybrid,new_threshold_identification,standard,False,0.3,
SklearnGAM_hybrid,new_irrelevant_features,standard,True,"x1, x2, x3, x4, x5 are irrelevant","x1, x2, x3, x4, x5"
SklearnGAM_hybrid,new_sign_of_effect,standard,True,-5.801,-5.8006
SklearnGAM_hybrid,new_counterfactual_prediction,standard,False,12.408,
SklearnGAM_hybrid,new_hard_all_features_active,hard,True,2.342,2.34201
SklearnGAM_hybrid,new_hard_pairwise_anti_intuitive,hard,False,4.048,
SklearnGAM_hybrid,new_hard_quantitative_sensitivity,hard,True,9.913,9.9128
SklearnGAM_hybrid,new_hard_mixed_sign_goes_negative,hard,True,-4.149,-4.14885
SklearnGAM_hybrid,new_hard_two_feature_perturbation,hard,False,9.366,
SklearnGAM_hybrid,new_insight_simulatability,insight,True,8.142,8.1521
SklearnGAM_hybrid,new_insight_sparse_feature_set,insight,True,"x0, x1 only","x0, x1"
SklearnGAM_hybrid,new_insight_nonlinear_threshold,insight,False,~0 (flat for x0<0),
SklearnGAM_hybrid,new_insight_nonlinear_direction,insight,True,4.534,4.54195
