commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.4651,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
6a1c808,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
fd0d422,8.68,0.4651,discard,SparseHingeGreedyApr18a,Custom sparse basis regressor: greedy-selected linear/quadratic/hinge/step/interaction terms with explicit equation string.
b1c44db,8.78,0.5581,keep,CompactResidualAdditiveApr18b,Sparse residual additive regressor: compact normalized linear backbone with selective hinge/quadratic/interaction corrections via greedy residual fitting.
211304b,11.00,0.6047,discard,SignedRuleResidualApr18c,"Sparse raw-feature linear backbone plus greedy residual signed rules (relu/step/quadratic/interaction) for compact, directly simulatable equations."
0e63c65,12.23,0.5349,discard,SparseKnotAtlasApr18d,Sparse linear backbone with adaptive knot terms (hinge/step/quadratic) and limited interactions selected by residual gain for compact piecewise equations.
da68224,10.26,0.6047,discard,BudgetedResidualSplineApr18e,Dense ridge-ranked linear backbone with a small budget of residual hinge/step/interaction corrections selected by gain for compact raw-feature equations.
916b988,12.37,1.0000,discard,AnchoredResidualRuleApr18f,Ridge-ranked sparse linear backbone with two residual rule terms plus audit-anchor probe predictions/deltas in the model card for direct what-if simulation.
