dataset,model,rmse,rank
abalone,AdaptiveGAM_v1,0.755321,52
abalone,AdaptiveSplineGAM,0.744434,46
abalone,AdaptiveTreeGAM_v1,0.995434,117
abalone,AdditiveStumps_v1,0.768379,72
abalone,BaggedGAM_v1,0.768578,77
abalone,BinnedRidge_v1,0.712771,27
abalone,BoostedRidge_v1,0.722665,33
abalone,CompactAdditive_v1,0.801992,114
abalone,ControlledGAM_v1,0.824094,116
abalone,ControlledGAM_v2,0.784975,108
abalone,CyclicAdditive_v1,0.771934,100
abalone,DT_large,0.797057,111
abalone,DT_mini,0.794185,110
abalone,DecisionTreeSimple,0.804593,115
abalone,DistilledGAM_EBM,0.700939,15
abalone,DistilledGAM_v1,0.701419,18
abalone,DistilledRidge_v1,0.732961,39
abalone,EBM,0.710895,24
abalone,EnsembleGAM_v1,0.768379,73
abalone,FIGS_large,0.801452,113
abalone,FIGS_mini,0.793158,109
abalone,FullPWC_LinDisp,0.768379,74
abalone,GBM,0.735919,40
abalone,GBMLinear_v1,0.711740,26
abalone,GreedyGAM_v1,0.777352,103
abalone,HSTree_large,0.769955,91
abalone,HSTree_mini,0.800492,112
abalone,HingeEBM_200r,0.696538,9
abalone,HingeEBM_5bag,0.692791,5
abalone,HingeEBM_LinDisp,0.696496,7
abalone,HingeEBM_big,0.692503,4
abalone,HingeEBM_smart,0.696496,8
abalone,HingeEBM_v1,0.697747,12
abalone,HingeGAM_10bp,0.696900,11
abalone,HingeGBM_15pct,0.701038,16
abalone,HingeGBM_200est,0.711405,25
abalone,HingeGBM_3k,0.704255,19
abalone,HingeGBM_50d4,0.698226,14
abalone,HingeGBM_d2,0.705903,21
abalone,HingeGBM_posOnly,0.698030,13
abalone,HingeGBM_v1,0.701038,17
abalone,HingeLinear_v1,0.690203,2
abalone,HybridTreeLin_v2,0.720344,30
abalone,InteractionRidge_v1,0.693814,6
abalone,KD_GAM_v1,0.772111,101
abalone,LassoCV,0.720338,29
abalone,LinearPlusTree_v1,0.725755,35
abalone,MLP,0.708886,22
abalone,OLS,0.721231,31
abalone,PerFeatureTreeGAM_v1,0.717379,28
abalone,PiecewiseLinGAM_v1,0.761942,63
abalone,ProceduralGAM_v1,0.768578,78
abalone,PyGAM,0.705364,20
abalone,RF,0.732093,38
abalone,RFFRidge_v1,0.731506,37
abalone,RidgeCV,0.721876,32
abalone,RidgeDisguisedGAM,0.775057,102
abalone,RidgeStumpGAM,0.710835,23
abalone,RuleFit,0.784597,107
abalone,SelfCalGAM_v1,0.736629,43
abalone,SkStumpGAM_stoch,0.746739,47
abalone,SklearnGAM_hybrid,0.769750,90
abalone,SklearnStumpGAM_v1,0.768690,89
abalone,SmartAddGAM_100r,0.765959,69
abalone,SmartAddGAM_500r,0.764048,66
abalone,SmartAddGAM_compact,0.759865,58
abalone,SmartAddGAM_msl10,0.770417,95
abalone,SmartAddGAM_r90,0.759865,59
abalone,SmartAdditive_v1,0.768379,75
abalone,SmartAdditive_v2,0.770820,96
abalone,SmartAdditive_v3,0.770820,97
abalone,SmartAdditive_v4,0.752332,50
abalone,SmartAdditive_v5,0.770820,98
abalone,SmartAdditive_v6,0.770820,99
abalone,SmoothGAM_10s,0.764310,67
abalone,SmoothGAM_250_08,0.770052,92
abalone,SmoothGAM_2pass,0.762625,64
abalone,SmoothGAM_300r,0.751993,49
abalone,SmoothGAM_30s15p,0.759320,56
abalone,SmoothGAM_3dp,0.768578,79
abalone,SmoothGAM_3pct,0.768578,80
abalone,SmoothGAM_40s,0.757529,54
abalone,SmoothGAM_4pass62,0.768342,71
abalone,SmoothGAM_50s,0.756340,53
abalone,SmoothGAM_5light,0.768416,76
abalone,SmoothGAM_60s,0.755180,51
abalone,SmoothGAM_ES,0.761560,60
abalone,SmoothGAM_GBMres,0.736565,42
abalone,SmoothGAM_RF,0.736909,44
abalone,SmoothGAM_RF100,0.736084,41
abalone,SmoothGAM_RF_sqrt,0.729316,36
abalone,SmoothGAM_allLin,0.768578,81
abalone,SmoothGAM_boost2,0.758072,55
abalone,SmoothGAM_clean,0.768578,82
abalone,SmoothGAM_dynR2,0.768578,83
abalone,SmoothGAM_fast,0.764608,68
abalone,SmoothGAM_gauss,0.770110,94
abalone,SmoothGAM_hybrid,0.768578,84
abalone,SmoothGAM_leafReg,0.770064,93
abalone,SmoothGAM_linBonus,0.779178,104
abalone,SmoothGAM_linRecal,1.316288,118
abalone,SmoothGAM_lr12,0.762687,65
abalone,SmoothGAM_mono,0.768578,85
abalone,SmoothGAM_msl3,0.781411,105
abalone,SmoothGAM_noES,0.768578,86
abalone,SmoothGAM_r70hyb,0.768578,87
abalone,SmoothGAM_recal,0.747237,48
abalone,SmoothGAM_refine,0.766689,70
abalone,SmoothGAM_sqrtF,0.782494,106
abalone,SmoothGAM_tinyGBM,0.761645,62
abalone,SmoothGAM_v1,0.761560,61
abalone,SmoothGAM_v2,0.759703,57
abalone,SmoothGAM_verify,0.768578,88
abalone,SparsePoly_v1,0.696689,10
abalone,SplineGAM_v1,0.690203,3
abalone,StochasticGAM_v1,0.738799,45
abalone,StumpLinear_v1,0.724747,34
abalone,TabPFN,0.670875,1
california,AdaptiveGAM_v1,0.698514,6
california,AdaptiveSplineGAM,0.907856,44
california,AdaptiveTreeGAM_v1,0.893599,43
california,AdditiveStumps_v1,0.702194,7
california,BaggedGAM_v1,2.046624,83
california,BinnedRidge_v1,1.441177,50
california,BoostedRidge_v1,2.137390,106
california,CompactAdditive_v1,0.716381,24
california,ControlledGAM_v1,0.806758,40
california,ControlledGAM_v2,0.725789,31
california,CyclicAdditive_v1,0.707985,16
california,DT_large,0.784121,36
california,DT_mini,0.797055,38
california,DecisionTreeSimple,0.806478,39
california,DistilledGAM_EBM,0.821359,41
california,DistilledGAM_v1,0.861019,42
california,DistilledRidge_v1,2.112099,104
california,EBM,0.660017,3
california,EnsembleGAM_v1,0.702194,8
california,FIGS_large,0.737994,32
california,FIGS_mini,0.754661,34
california,FullPWC_LinDisp,0.702194,9
california,GBM,0.650275,2
california,GBMLinear_v1,2.165608,110
california,GreedyGAM_v1,0.712352,19
california,HSTree_large,0.768189,35
california,HSTree_mini,0.795105,37
california,HingeEBM_200r,1.548900,58
california,HingeEBM_5bag,1.545006,52
california,HingeEBM_LinDisp,1.549375,59
california,HingeEBM_big,1.546584,55
california,HingeEBM_smart,1.549375,60
california,HingeEBM_v1,1.573951,63
california,HingeGAM_10bp,2.006069,67
california,HingeGBM_15pct,1.545802,53
california,HingeGBM_200est,1.542459,51
california,HingeGBM_3k,1.570171,62
california,HingeGBM_50d4,1.548296,57
california,HingeGBM_d2,1.547121,56
california,HingeGBM_posOnly,1.978143,66
california,HingeGBM_v1,1.545802,54
california,HingeLinear_v1,1.355347,47
california,HybridTreeLin_v2,2.568628,115
california,InteractionRidge_v1,116.773982,118
california,KD_GAM_v1,2.047861,94
california,LassoCV,2.087627,102
california,LinearPlusTree_v1,2.165912,111
california,MLP,1.088485,46
california,OLS,2.191360,113
california,PerFeatureTreeGAM_v1,2.165227,109
california,PiecewiseLinGAM_v1,0.710535,17
california,ProceduralGAM_v1,2.046624,84
california,PyGAM,1.428598,49
california,RF,0.718275,29
california,RFFRidge_v1,1.706249,64
california,RidgeCV,2.178053,112
california,RidgeDisguisedGAM,2.065936,101
california,RidgeStumpGAM,2.164286,108
california,RuleFit,0.741651,33
california,SelfCalGAM_v1,2.146716,107
california,SkStumpGAM_stoch,0.693454,4
california,SklearnGAM_hybrid,2.046624,85
california,SklearnStumpGAM_v1,0.702340,13
california,SmartAddGAM_100r,0.716032,23
california,SmartAddGAM_500r,0.696041,5
california,SmartAddGAM_compact,0.702194,10
california,SmartAddGAM_msl10,0.717073,25
california,SmartAddGAM_r90,0.702194,11
california,SmartAdditive_v1,0.702194,12
california,SmartAdditive_v2,0.717530,26
california,SmartAdditive_v3,1.975169,65
california,SmartAdditive_v4,0.705938,15
california,SmartAdditive_v5,0.717530,27
california,SmartAdditive_v6,0.717530,28
california,SmoothGAM_10s,2.035524,77
california,SmoothGAM_250_08,2.036564,78
california,SmoothGAM_2pass,0.711108,18
