commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
6a1c808,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
ff08456,6.78,0.3256,discard,SparseHingeOMP_q2575_v1,Greedy sparse additive model over linear/quadratic/abs/hinge(25/50/75th) and selected pairwise interactions
0be2b28,11.25,0.4419,discard,LinResStumpOMP_v1,Sparse linear OMP core plus a few residual decision-stump corrections for compact nonlinear additivity
49329ff,9.49,0.4186,discard,SparseKnotAbsInt_v1,Forward-selected sparse additive model with per-feature adaptive |x-t| kink terms plus at most one interaction
4958ea7,12.54,0.4651,discard,SparseLinHingeRefine_v1,"Sparse linear backbone with greedy one-sided hinge refinements, optional interaction, and coefficient quantization for simulatability"
8fd03aa,13.62,0.6279,discard,RuleGateSparseLin_v1,Greedy sparse linear regressor with one optional threshold gate selecting between two compact branch equations
0b7d225,15.51,0.6744,discard,SparseRidgeHingeGCV_v1,"GCV-selected ridge backbone pruned to dominant linear terms, plus a few residual hinge threshold terms"
7277eeb,14.25,0.5349,discard,RidgeResidualSymbolic_v1,Ridge backbone with adaptive linear pruning plus one residual interaction and one residual hinge correction
