dataset,model,rmse,rank
abalone,AdaptivePiecewiseGAM,0.710433,36
abalone,AdaptiveRidgeOrStumps,0.721047,53
abalone,AdaptiveSelector,0.721047,64
abalone,AdaptiveSelector2,0.721047,46
abalone,AdaptiveSelector5,0.721047,50
abalone,AdaptiveSelectorTiered,0.721047,48
abalone,BinnedGAM,0.772567,71
abalone,CleanHingeLinear,0.703924,30
abalone,DT_large,0.797057,76
abalone,DT_mini,0.794185,75
abalone,DecisionListLinear,0.782440,72
abalone,DecisionTreeSimple,0.804593,80
abalone,EBM,0.710895,38
abalone,FIGS_large,0.801452,78
abalone,FIGS_mini,0.793158,74
abalone,GBM,0.735919,69
abalone,HSTree_large,0.769955,70
abalone,HSTree_mini,0.800492,77
abalone,HingeBothOLS,0.703924,29
abalone,HingeBudgetLinear,0.710834,37
abalone,HingeEBMLinear,0.703460,27
abalone,HingeLassoNoDebias,0.701458,19
abalone,HingeOLSStyle,0.703816,28
abalone,HingeSplitDisplay,0.697967,7
abalone,IsotonicGAM,0.804127,79
abalone,LassoCV,0.720338,45
abalone,LassoPlusStumps12,0.719824,43
abalone,LinearEBMHybrid,0.705105,32
abalone,LinearModelTree,0.710367,35
abalone,LinearPlusStumps10,0.721047,54
abalone,LinearPlusStumps12,0.721047,63
abalone,LinearPlusStumps12_sorted,0.721047,55
abalone,LinearPlusStumps12_tight,0.721047,61
abalone,LinearPlusStumps12_v2,0.721047,49
abalone,LinearPlusStumps14,0.721047,58
abalone,LinearPlusStumps20,0.721047,51
abalone,LinearPlusStumps8,0.721047,47
abalone,LinearPlusStumpsDoc,0.721047,56
abalone,LinearPlusStumpsPython,0.721047,62
abalone,LinearPlusStumpsStepwise,0.721047,57
abalone,LinearPlusStumps_examples,0.721047,65
abalone,LinearPlusStumps_lr05,0.721047,60
abalone,LinearPlusStumps_optimal,0.713027,39
abalone,LinearPlusStumps_pairs,0.721047,59
abalone,LinearPlusStumps_twosided,0.719309,42
abalone,LinearPlusStumps_unique,0.721047,52
abalone,MLP,0.708886,34
abalone,OLS,0.721231,66
abalone,PiecewiseGAM2Knots,0.699749,13
abalone,PiecewiseGAM3Knots_sorted,0.701458,14
abalone,PiecewiseGAM4Knots,0.691329,2
abalone,PiecewiseGAM_1pct,0.698278,11
abalone,PiecewiseGAM_3dp,0.701458,20
abalone,PiecewiseGAM_FullPredict,0.697967,8
abalone,PiecewiseGAM_Plus,0.697306,4
abalone,PiecewiseGAM_Ridge,0.697692,5
abalone,PiecewiseGAM_Stumps,0.701458,16
abalone,PiecewiseGAM_adaptive_display,0.701458,21
abalone,PiecewiseGAM_aggressive,0.697967,9
abalone,PiecewiseGAM_best,0.701458,17
abalone,PiecewiseGAM_header_fix,0.701458,23
